"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:28:51.48",227,91,1.600098,2.799998,7626,527.1432,360.1722,273.8642
"2023-06-14 10:28:59.4",228,92,1.699707,7.919993,7635.4,186.3638,382.5936,273.1132
"2023-06-14 10:29:02.08",229,93,0.3999023,2.679998,7638.6,550.7466,90.01556,268.9879
"2023-06-14 10:29:09.92",230,94,2,7.839993,7648.2,188.2655,450.1877,275.74
"2023-06-14 10:29:12.52",231,95,0.3999023,2.599998,7650.9,567.6927,90.01556,271.2374
"2023-06-14 10:29:20.74",232,96,0.2998047,8.219998,7661.4,179.5621,67.4842,279.4915
"2023-06-14 10:29:23.38",233,97,2.299805,2.639998,7666,559.0913,517.6719,281.7428
"2023-06-14 10:29:26.76",234,98,0.3999023,3.379997,7669.3,436.6867,90.01556,277.6158
"2023-06-14 10:29:33.8",235,99,1.700195,7.039994,7678.5,209.6593,382.7035,278.3668
"2023-06-14 10:29:36.6",236,100,0.300293,2.799998,7680.7,527.1432,67.59411,274.2397
"2023-06-14 10:29:42.7",237,101,2.100098,6.099995,7687.7,241.9674,472.7191,274.6152
"2023-06-14 10:29:48.96",238,102,2.5,6.259995,7695.8,235.7829,562.7347,278.365
"2023-06-14 10:29:51.84",239,103,0.1000977,2.879998,7697.7,512.5004,22.53137,268.9879
"2023-06-14 10:29:58.3",240,104,2.200195,6.459995,7707.2,228.4832,495.2505,275.74
"2023-06-14 10:30:02.36",241,105,1.600098,4.059997,7711.9,363.5471,360.1722,274.9889
"2023-06-14 10:30:07.66",242,106,0.7001953,5.299996,7717.1,278.4908,157.6097,267.8613
"2023-06-14 10:30:14.92",243,107,1.5,7.259994,7726,203.306,337.6408,272.7395
"2023-06-14 10:30:17.46",244,108,1.299805,2.539998,7729.5,581.1028,292.5781,265.61
"2023-06-14 10:30:24.02",245,109,1.5,6.539995,7738.5,225.6883,337.6408,271.9884
"2023-06-14 10:30:26.86",246,110,0.5,2.839998,7740.1,519.7187,112.5469,265.6119
"2023-06-14 10:30:34.56",247,111,0.5,7.699994,7750.2,191.6885,112.5469,267.8632
"2023-06-14 10:30:37.32",248,112,2,2.759998,7754.6,534.783,450.1877,267.1121
"2023-06-14 10:30:45.16",249,113,1.699707,7.819993,7763.9,188.747,382.5936,275.74
"2023-06-14 10:30:47.76",250,114,1.5,2.599998,7766.1,567.6927,337.6408,273.115
"2023-06-14 10:30:54.4",251,115,0.5996094,6.639995,7774.3,222.2893,134.9684,271.2374
"2023-06-14 10:30:57.22",252,116,2.300293,2.819998,7778.7,523.4046,517.7819,276.491
"2023-06-14 10:31:04.04",253,117,0.7001953,6.819994,7786.7,216.4225,157.6097,273.8642
"2023-06-14 10:31:06.9",254,118,0.800293,2.859998,7789.2,516.0843,180.1411,273.115
"2023-06-14 10:31:14.56",255,119,0.5996094,7.659994,7799.3,192.6895,134.9684,274.9889
"2023-06-14 10:31:17.4",256,120,2.299805,2.839998,7804,519.7187,517.6719,279.4915
"2023-06-14 10:31:25.4",257,121,1.799805,7.999993,7812.5,184.5002,405.125,273.4887
